央视频道[V4],#genre#
CCTV1,http://171.8.75.217:8011/tsfile/live/0001_1.m3u8
CCTV2,http://171.8.75.217:8011/tsfile/live/0002_1.m3u8
CCTV3,http://171.8.75.217:8011/tsfile/live/0003_1.m3u8
CCTV4,http://171.8.75.217:8011/tsfile/live/0004_1.m3u8
CCTV5,http://171.8.75.217:8011/tsfile/live/0005_1.m3u8
CCTV6,http://171.8.75.217:8011/tsfile/live/0006_1.m3u8
CCTV7,http://171.8.75.217:8011/tsfile/live/0007_1.m3u8
CCTV8,http://171.8.75.217:8011/tsfile/live/0008_1.m3u8
CCTV9,http://171.8.75.217:8011/tsfile/live/0009_1.m3u8
CCTV10,http://171.8.75.217:8011/tsfile/live/0010_1.m3u8
CCTV11,http://171.8.75.217:8011/tsfile/live/0011_1.m3u8
CCTV12,http://171.8.75.217:8011/tsfile/live/0012_1.m3u8
CCTV13,http://171.8.75.217:8011/tsfile/live/0013_1.m3u8
CCTV14,http://171.8.75.217:8011/tsfile/live/0014_1.m3u8
CCTV15,http://171.8.75.217:8011/tsfile/live/0015_1.m3u8
CCTV16,http://171.8.75.217:8011/tsfile/live/0016_1.m3u8
CCTV1,http://121.21.84.3:8888/rtp/239.253.92.83:8012
CCTV2,http://121.21.84.3:8888/rtp/239.253.92.190:6065
CCTV3,http://121.21.84.3:8888/rtp/239.253.92.191:6057
CCTV4,http://121.21.84.3:8888/rtp/239.253.92.251:6141
CCTV5,http://121.21.84.3:8888/rtp/239.253.92.181:6046
CCTV6,http://121.21.84.3:8888/rtp/239.253.92.193:6058
CCTV7,http://121.21.84.3:8888/rtp/239.253.92.194:6059
CCTV8,http://121.21.84.3:8888/rtp/239.253.92.195:6060
CCTV9,http://121.21.84.3:8888/rtp/239.253.92.107:6020
CCTV10,http://121.21.84.3:8888/rtp/239.253.92.196:6061
CCTV11,http://121.21.84.3:8888/rtp/239.253.93.153:6321
CCTV12,http://121.21.84.3:8888/rtp/239.253.92.197:6062
CCTV13,http://121.21.84.3:8888/rtp/239.253.92.13:8008
CCTV14,http://121.21.84.3:8888/rtp/239.253.92.198:6063
CCTV15,http://121.21.84.3:8888/rtp/239.253.93.154:6322
CCTV17,http://121.21.84.3:8888/rtp/239.253.93.150:6318
CCTV1,http://tvbox6.com/tv/migu.php?id=cctv1
CCTV2,http://tvbox6.com/tv/migu.php?id=cctv2
CCTV3,http://tvbox6.com/tv/migu.php?id=cctv3
CCTV4,http://tvbox6.com/tv/migu.php?id=cctv4
CCTV5,http://tvbox6.com/tv/migu.php?id=cctv5
CCTV6,http://tvbox6.com/tv/migu.php?id=cctv6
CCTV7,http://tvbox6.com/tv/migu.php?id=cctv7
CCTV8,http://tvbox6.com/tv/migu.php?id=cctv8
CCTV9,http://tvbox6.com/tv/migu.php?id=cctv9
CCTV10,http://tvbox6.com/tv/migu.php?id=cctv10
CCTV11,http://tvbox6.com/tv/migu.php?id=cctv11
CCTV12,http://tvbox6.com/tv/migu.php?id=cctv12
CCTV13,http://tvbox6.com/tv/migu.php?id=cctv13
CCTV14,http://tvbox6.com/tv/migu.php?id=cctv14
CCTV15,http://tvbox6.com/tv/migu.php?id=cctv15
CCTV17,http://tvbox6.com/tv/migu.php?id=cctv17
央视备,#genre#
CCTV-1 综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
