10月12日更新,#genre#
冰姐出品,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240059018784.mp4
关注QQ群,https://vd4.bdstatic.com/mda-ncg44ya2nmih7avs/1080p/cae_h264_delogo/1647487969274086287/mda-ncg44ya2nmih7avs.mp4
607367957,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240066736888.mp4
866175387,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240177941288.mp4
614733637,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240228462625.mp4
128771707,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240069974546.mp4
获取资源密码,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240121912724.mp4

港澳台一,#genre#
凤凰中文台,http://58.144.154.93/qctv.fengshows.cn/live/0701pcc72.m3u8
凤凰资讯台,http://58.144.154.93/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰香港台,http://58.144.154.93/qctv.fengshows.cn/live/0701phk72.m3u8
TVB翡翠台,http://ali.hlspull.yximgs.com/live/tboxprofhwwqpthqyqtqqqxcxbfhqqfqvhdtqdvbtvqsqxqfsqqcvbctvbfc.flv 

凤凰中文台,http://58.144.154.93/qctv.fengshows.cn/live/0701pcc72.m3u8
凤凰资讯台,http://58.144.154.93/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰香港台,http://58.144.154.93/qctv.fengshows.cn/live/0701phk72.m3u8




凤凰中文台,http://8.137.59.151:3000/laoshu1.php?key=6666&id=1
凤凰资讯台,http://8.137.59.151:3000/laoshu1.php?key=6666&id=2
凤凰香港台,http://8.137.59.151:3000/laoshu1.php?key=6666&id=3
香港有线新闻台,http://8.137.59.151:3000/laoshu1.php?key=6666&id=4
香港有线18台,http://8.137.59.151:3000/laoshu1.php?key=6666&id=5
香港有线18台(普通话),http://8.137.59.151:3000/laoshu1.php?key=6666&id=6
TVB无线新闻台,http://8.137.59.151:3000/laoshu1.php?key=6666&id=7
TVB翡翠台,http://8.137.59.151:3000/laoshu1.php?key=6666&id=8
黃金翡翠台,http://8.137.59.151:3000/laoshu1.php?key=6666&id=9
TVB明珠台,http://8.137.59.151:3000/laoshu1.php?key=6666&id=10
TVB Plus,http://8.137.59.151:3000/laoshu1.php?key=6666&id=11
TVB娱乐新闻台,http://8.137.59.151:3000/laoshu1.php?key=6666&id=12
TVB星河,http://8.137.59.151:3000/laoshu1.php?key=6666&id=13
ViuTV,http://8.137.59.151:3000/laoshu1.php?key=6666&id=14
ViuTV6,http://8.137.59.151:3000/laoshu1.php?key=6666&id=15
NOW新闻台,http://8.137.59.151:3000/laoshu1.php?key=6666&id=16
HOY国际财经台,http://8.137.59.151:3000/laoshu1.php?key=6666&id=17
HOY TV,http://8.137.59.151:3000/laoshu1.php?key=6666&id=18
HOY资讯台,http://8.137.59.151:3000/laoshu1.php?key=6666&id=19
港台电视31,http://8.137.59.151:3000/laoshu1.php?key=6666&id=20
港台电视32,http://8.137.59.151:3000/laoshu1.php?key=6666&id=21

TVB翡翠台,http://ali.hlspull.yximgs.com/live/tboxprofhwwqpthqyqtqqqxcxbfhqqfqvhdtqdvbtvqsqxqfsqqcvbctvbfc.flv 
TVB翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct3 
TVB无线新闻台,http://124.244.149.194:65531/bysid/83.m3u8 
TVB Plus,http://124.244.149.194:65531/bysid/82.m3u8 
TVB明珠台,http://124.244.149.194:65531/bysid/2.m3u8 
TVB18台,http://ali.hlspull.yximgs.com/live/tboxprovhxqcvfhoeqfqhdoqqqyhcvxclqhqotqyq9qssqfdqcvhthofsqqhyx18.flv 
ViuTV6,http://124.244.149.194:65530/bysid/96.m3u8 
ViuTV,http://124.244.149.194:65530/bysid/99.m3u8 
天映频道,http://ali.hlspull.yximgs.com/live/tboxproqeqcxlvofbqbvnqqsfqvbhfhcvxcvqsqbcvqfdvqsfcbqbnqtypq.flv 
天映经典,http://ali.hlspull.yximgs.com/live/tboxprovcnydsqfqsetqqfcvbcdtsqqfvxcvsqnmbnlqqhqqnmyhsqqftydq.flv 
Thrill恐怖电影,http://ali.hlspull.yximgs.com/live/tboxproecvqweqqosvoqqqsqqqdeqfqxqucqshvqcsqqfcqtchplqy.flv 
环球电视台,http://zb.xzxwhcb.com:9999/hls/world.m3u8 
香港卫视台,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8 
TVBS欢乐,http://tianhewan.top/ZIPP.php?url=http://211.72.65.236:8532/.m3u8 
番薯台,http://61.216.67.119:1935/TWHG/E1/chunklist_w70581102.m3u8 
TVB无线新闻台,http://live.cooltv.top/tv/tvb.php?id=0&hq 
TVB无线财经台,http://live.cooltv.top/tv/tvb.php?id=2&hq 
香港佛陀,https://js1.amtb.cn/liveedge/_definst_/livetv/playlist.m3u8 
唯心电视,http://mobile.ccdntech.com/transcoder/_definst_/vod164_Live/live/playlist.m3u8 
生命电视,http://61.216.67.119:1935/lifetv/lifetv.stream/manifest.m3u8 
番薯,http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8 
耀才财经,https://v3.mediacast.hk/webcast/bshdlive-pc/playlist.m3u8 
点掌财经,https://wsvideo.aniu.tv/live/aniu/playlist.m3u8 
美亚电视C+,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8 
RTHK34,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream02/streamPlaylist.m3u8 
RTHK33,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream03/streamPlaylist.m3u8 
RTHK35,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8 
耀才财经,https://v3.mediacast.hk/webcast/bshdlive-pc/chunklist_w99771165.m3u8 
面包台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8 
经典影视,https://ali.hlspull.yximgs.com/live/asdfg32516.flv 
亚洲新闻,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8 
Zarok,https://zindisorani.zaroktv.com.tr/hls/stream.m3u8 
唯心电视,https://mobile.ccdntech.com/transcoder/_definst_/vod164_Live/live/chunklist_w1177047531.m3u8 
1989香港小姐竞选,http://jsmov2.a.yximgs.com/bs3/video-hls/5259922993058236574_hlsb.m3u8 

香港33台高清,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream03/streamPlaylist.m3u8
香港34台高清,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream02/streamPlaylist.m3u8
香港35台高清,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8
耀才财经,https://v3.mediacast.hk/webcast/bshdlive-pc/chunklist_w99771165.m3u8
耀才财经,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8
澳门莲花,http://php.jdshipin.com:8880/amlh.php


台湾频道_2020,#genre#



民视,http://23.224.49.18:8877/4gtv.php?id=4gtv-4gtv002
民视,http://23.224.49.18:8877/4gtv.php?id=4gtv-4gtv155
中视,http://23.224.49.18:8877/4gtv.php?id=4gtv-4gtv040
华视,http://23.224.49.18:8877/4gtv.php?id=4gtv-4gtv041
